Day_of_the_year,Latitude,Longitude,Month,Year,Max_Temperature,Avg_Temperature,Min_Temperature,GDD,Peak_Bloom_Day,Days to go for Peak Bloom
51,35.012,135.6761,2,2005,45,41.2,32,9.2,99,49
55,35.012,135.6761,2,2005,52,42.8,34,10.8,99,45
57,35.012,135.6761,2,2005,46,38.6,32,6.6,99,43
1,35.012,135.6761,1,2006,54,41.4,30,9.4,98,98
2,35.012,135.6761,1,2006,48,42,34,10,98,97
3,35.012,135.6761,1,2006,48,42,34,10,98,96
4,35.012,135.6761,1,2006,45,39.8,37,7.8,98,95
5,35.012,135.6761,1,2006,41,36.5,30,4.5,98,94
6,35.012,135.6761,1,2006,41,35.7,28,3.7,98,93
7,35.012,135.6761,1,2006,43,35.9,30,3.9,98,92
8,35.012,135.6761,1,2006,45,36,27,4,98,91
9,35.012,135.6761,1,2006,48,37.9,25,5.9,98,90
10,35.012,135.6761,1,2006,50,40.5,30,8.5,98,89
11,35.012,135.6761,1,2006,48,40.5,32,8.5,98,88
12,35.012,135.6761,1,2006,52,41.4,30,9.4,98,87
13,35.012,135.6761,1,2006,52,45.2,34,13.2,98,86
14,35.012,135.6761,1,2006,55,52.3,48,20.3,98,85
15,35.012,135.6761,1,2006,54,47,41,15,98,84
16,35.012,135.6761,1,2006,54,44.6,34,12.6,98,83
17,35.012,135.6761,1,2006,50,43.3,36,11.3,98,82
18,35.012,135.6761,1,2006,46,40.5,36,8.5,98,81
19,35.012,135.6761,1,2006,43,37.5,34,5.5,98,80
20,35.012,135.6761,1,2006,48,40,34,8,98,79
21,35.012,135.6761,1,2006,46,41.4,36,9.4,98,78
22,35.012,135.6761,1,2006,45,39.7,34,7.7,98,77
23,35.012,135.6761,1,2006,43,34.8,30,2.8,98,76
24,35.012,135.6761,1,2006,45,36.2,28,4.2,98,75
25,35.012,135.6761,1,2006,46,38.5,32,6.5,98,74
26,35.012,135.6761,1,2006,46,38.5,28,6.5,98,73
27,35.012,135.6761,1,2006,48,40.2,28,8.2,98,72
28,35.012,135.6761,1,2006,45,39.6,32,7.6,98,71
29,35.012,135.6761,1,2006,54,41.3,27,9.3,98,70
30,35.012,135.6761,1,2006,50,47.8,45,15.8,98,69
31,35.012,135.6761,1,2006,50,46.7,43,14.7,98,68
32,35.012,135.6761,2,2006,50,46.3,45,14.3,98,67
33,35.012,135.6761,2,2006,50,44.9,37,12.9,98,66
34,35.012,135.6761,2,2006,50,42.3,32,10.3,98,65
35,35.012,135.6761,2,2006,39,33.1,27,1.1,98,64
36,35.012,135.6761,2,2006,41,34.7,30,2.7,98,63
37,35.012,135.6761,2,2006,41,35.6,30,3.6,98,62
38,35.012,135.6761,2,2006,52,44.8,41,12.8,98,61
39,35.012,135.6761,2,2006,46,40.3,36,8.3,98,60
40,35.012,135.6761,2,2006,43,37,32,5,98,59
41,35.012,135.6761,2,2006,48,37.8,0,5.8,98,58
42,35.012,135.6761,2,2006,52,45.8,41,13.8,98,57
43,35.012,135.6761,2,2006,43,37.9,30,5.9,98,56
44,35.012,135.6761,2,2006,52,39.9,27,7.9,98,55
45,35.012,135.6761,2,2006,59,47.7,30,15.7,98,54
46,35.012,135.6761,2,2006,61,53.6,46,21.6,98,53
47,35.012,135.6761,2,2006,50,48,46,16,98,52
48,35.012,135.6761,2,2006,48,43,36,11,98,51
49,35.012,135.6761,2,2006,50,39.8,28,7.8,98,50
50,35.012,135.6761,2,2006,48,41.6,32,9.6,98,49
51,35.012,135.6761,2,2006,43,41.1,36,9.1,98,48
52,35.012,135.6761,2,2006,55,45.3,36,13.3,98,47
53,35.012,135.6761,2,2006,63,51.5,37,19.5,98,46
54,35.012,135.6761,2,2006,54,48.3,41,16.3,98,45
55,35.012,135.6761,2,2006,55,45.4,36,13.4,98,44
56,35.012,135.6761,2,2006,63,50.7,36,18.7,98,43
57,35.012,135.6761,2,2006,55,53.1,52,21.1,98,42
58,35.012,135.6761,2,2006,48,42.2,37,10.2,98,41
59,35.012,135.6761,2,2006,48,41.5,32,9.5,98,40
1,35.012,135.6761,1,2007,52,44.4,32,12.4,97,97
3,35.012,135.6761,1,2007,54,49.5,43,17.5,97,95
4,35.012,135.6761,1,2007,54,47.5,43,15.5,97,94
5,35.012,135.6761,1,2007,52,45,34,13,97,93
6,35.012,135.6761,1,2007,50,46.7,45,14.7,97,92
7,35.012,135.6761,1,2007,46,40.1,36,8.1,97,91
8,35.012,135.6761,1,2007,50,45.1,39,13.1,97,90
9,35.012,135.6761,1,2007,48,42.5,34,10.5,97,89
10,35.012,135.6761,1,2007,52,42.9,30,10.9,97,88
13,35.012,135.6761,1,2007,50,43,36,11,97,85
14,35.012,135.6761,1,2007,50,42,34,10,97,84
16,35.012,135.6761,1,2007,52,45.6,37,13.6,97,82
17,35.012,135.6761,1,2007,50,47.4,45,15.4,97,81
18,35.012,135.6761,1,2007,52,46.6,37,14.6,97,80
19,35.012,135.6761,1,2007,46,43.6,39,11.6,97,79
20,35.012,135.6761,1,2007,52,43.5,32,11.5,97,78
21,35.012,135.6761,1,2007,50,45.3,36,13.3,97,77
25,35.012,135.6761,1,2007,52,44.8,36,12.8,97,73
27,35.012,135.6761,1,2007,52,47.9,45,15.9,97,71
28,35.012,135.6761,1,2007,48,43.8,36,11.8,97,70
29,35.012,135.6761,1,2007,50,43.4,32,11.4,97,69
40,35.012,135.6761,2,2007,54,50.3,46,18.3,97,58
43,35.012,135.6761,2,2007,54,46.4,34,14.4,97,55
51,35.012,135.6761,2,2007,57,47.3,34,15.3,97,47
54,35.012,135.6761,2,2007,63,53.7,48,21.7,97,44
57,35.012,135.6761,2,2007,61,52.9,43,20.9,97,41
59,35.012,135.6761,2,2007,48,44.6,41,12.6,97,39
1,35.012,135.6761,1,2008,46,40.7,34,8.7,95,95
2,35.012,135.6761,1,2008,46,41.6,32,9.6,95,94
3,35.012,135.6761,1,2008,50,44.3,34,12.3,95,93
4,35.012,135.6761,1,2008,54,43.8,34,11.8,95,92
5,35.012,135.6761,1,2008,52,44.1,34,12.1,95,91
6,35.012,135.6761,1,2008,54,44.4,30,12.4,95,90
7,35.012,135.6761,1,2008,48,43.7,37,11.7,95,89
8,35.012,135.6761,1,2008,57,48,36,16,95,88
9,35.012,135.6761,1,2008,57,49.6,39,17.6,95,87
10,35.012,135.6761,1,2008,55,47.1,36,15.1,95,86
11,35.012,135.6761,1,2008,55,48.3,37,16.3,95,85
12,35.012,135.6761,1,2008,54,49.9,45,17.9,95,84
13,35.012,135.6761,1,2008,46,40.7,37,8.7,95,83
14,35.012,135.6761,1,2008,43,40.1,36,8.1,95,82
15,35.012,135.6761,1,2008,48,40.4,30,8.4,95,81
16,35.012,135.6761,1,2008,52,44.9,39,12.9,95,80
17,35.012,135.6761,1,2008,43,39.7,36,7.7,95,79
18,35.012,135.6761,1,2008,46,40.1,32,8.1,95,78
19,35.012,135.6761,1,2008,48,40.4,32,8.4,95,77
20,35.012,135.6761,1,2008,43,38.4,36,6.4,95,76
21,35.012,135.6761,1,2008,45,41.9,37,9.9,95,75
22,35.012,135.6761,1,2008,45,40.9,34,8.9,95,74
23,35.012,135.6761,1,2008,45,43.1,39,11.1,95,73
24,35.012,135.6761,1,2008,41,39,36,7,95,72
25,35.012,135.6761,1,2008,41,37.4,32,5.4,95,71
26,35.012,135.6761,1,2008,45,38.6,32,6.6,95,70
27,35.012,135.6761,1,2008,43,37.3,28,5.3,95,69
28,35.012,135.6761,1,2008,43,36.7,28,4.7,95,68
29,35.012,135.6761,1,2008,43,40.2,37,8.2,95,67
30,35.012,135.6761,1,2008,48,45.2,41,13.2,95,66
31,35.012,135.6761,1,2008,46,42.2,37,10.2,95,65
32,35.012,135.6761,2,2008,45,40,32,8,95,64
33,35.012,135.6761,2,2008,45,39.5,34,7.5,95,63
34,35.012,135.6761,2,2008,43,38.5,34,6.5,95,62
35,35.012,135.6761,2,2008,46,41.4,32,9.4,95,61
36,35.012,135.6761,2,2008,46,41.2,34,9.2,95,60
37,35.012,135.6761,2,2008,46,40.6,32,8.6,95,59
38,35.012,135.6761,2,2008,46,40.8,34,8.8,95,58
39,35.012,135.6761,2,2008,45,39.8,32,7.8,95,57
40,35.012,135.6761,2,2008,37,34.5,34,2.5,95,56
41,35.012,135.6761,2,2008,50,41.9,32,9.9,95,55
42,35.012,135.6761,2,2008,55,45.5,34,13.5,95,54
43,35.012,135.6761,2,2008,45,41.9,39,9.9,95,53
44,35.012,135.6761,2,2008,41,28.1,0,0,95,52
45,35.012,135.6761,2,2008,46,39,28,7,95,51
46,35.012,135.6761,2,2008,46,41.6,34,9.6,95,50
47,35.012,135.6761,2,2008,46,39.4,32,7.4,95,49
48,35.012,135.6761,2,2008,41,37,30,5,95,48
49,35.012,135.6761,2,2008,46,39.1,32,7.1,95,47
50,35.012,135.6761,2,2008,48,42.4,34,10.4,95,46
51,35.012,135.6761,2,2008,52,44.7,30,12.7,95,45
52,35.012,135.6761,2,2008,54,45.8,34,13.8,95,44
53,35.012,135.6761,2,2008,55,47.6,34,15.6,95,43
54,35.012,135.6761,2,2008,55,45,34,13,95,42
55,35.012,135.6761,2,2008,39,25.7,0,0,95,41
56,35.012,135.6761,2,2008,45,38.6,30,6.6,95,40
57,35.012,135.6761,2,2008,46,42.9,37,10.9,95,39
58,35.012,135.6761,2,2008,43,39.9,36,7.9,95,38
59,35.012,135.6761,2,2008,48,42.6,34,10.6,95,37
60,35.012,135.6761,2,2008,54,45.6,30,13.6,95,36
1,35.012,135.6761,1,2009,45,39.8,34,7.8,95,95
2,35.012,135.6761,1,2009,45,41.4,37,9.4,95,94
3,35.012,135.6761,1,2009,48,43.2,37,11.2,95,93
4,35.012,135.6761,1,2009,52,45.9,39,13.9,95,92
5,35.012,135.6761,1,2009,54,46.4,36,14.4,95,91
6,35.012,135.6761,1,2009,52,44.8,37,12.8,95,90
7,35.012,135.6761,1,2009,46,42.2,34,10.2,95,89
8,35.012,135.6761,1,2009,52,44.1,30,12.1,95,88
9,35.012,135.6761,1,2009,50,46.5,43,14.5,95,87
10,35.012,135.6761,1,2009,43,39.3,36,7.3,95,86
11,35.012,135.6761,1,2009,45,39.4,32,7.4,95,85
12,35.012,135.6761,1,2009,43,40.8,39,8.8,95,84
13,35.012,135.6761,1,2009,45,38.4,28,6.4,95,83
14,35.012,135.6761,1,2009,46,39.2,27,7.2,95,82
15,35.012,135.6761,1,2009,45,38.3,30,6.3,95,81
16,35.012,135.6761,1,2009,46,40.4,30,8.4,95,80
17,35.012,135.6761,1,2009,52,44.4,34,12.4,95,79
18,35.012,135.6761,1,2009,48,42.3,34,10.3,95,78
19,35.012,135.6761,1,2009,54,47,39,15,95,77
20,35.012,135.6761,1,2009,52,44.2,36,12.2,95,76
21,35.012,135.6761,1,2009,45,41.2,34,9.2,95,75
22,35.012,135.6761,1,2009,48,43.5,37,11.5,95,74
23,35.012,135.6761,1,2009,54,48.4,45,16.4,95,73
24,35.012,135.6761,1,2009,41,37.2,34,5.2,95,72
25,35.012,135.6761,1,2009,45,39.4,32,7.4,95,71
26,35.012,135.6761,1,2009,46,41.1,30,9.1,95,70
27,35.012,135.6761,1,2009,52,43.1,34,11.1,95,69
28,35.012,135.6761,1,2009,55,45.3,30,13.3,95,68
29,35.012,135.6761,1,2009,59,50.6,34,18.6,95,67
30,35.012,135.6761,1,2009,59,56.1,50,24.1,95,66
31,35.012,135.6761,1,2009,54,50,45,18,95,65
39,35.012,135.6761,2,2009,52,45.3,37,13.3,95,57
48,35.012,135.6761,2,2009,45,38.9,32,6.9,95,48
1,35.012,135.6761,1,2010,43,37.7,32,5.7,95,95
2,35.012,135.6761,1,2010,48,42.6,34,10.6,95,94
3,35.012,135.6761,1,2010,48,44.7,39,12.7,95,93
4,35.012,135.6761,1,2010,50,42.5,28,10.5,95,92
5,35.012,135.6761,1,2010,46,44.3,39,12.3,95,91
6,35.012,135.6761,1,2010,46,40.4,32,8.4,95,90
7,35.012,135.6761,1,2010,43,38.6,32,6.6,95,89
8,35.012,135.6761,1,2010,48,41.4,32,9.4,95,88
9,35.012,135.6761,1,2010,48,41.2,30,9.2,95,87
10,35.012,135.6761,1,2010,50,45,39,13,95,86
11,35.012,135.6761,1,2010,50,44,36,12,95,85
12,35.012,135.6761,1,2010,45,43.4,41,11.4,95,84
13,35.012,135.6761,1,2010,39,35.5,32,3.5,95,83
14,35.012,135.6761,1,2010,41,36.3,30,4.3,95,82
15,35.012,135.6761,1,2010,46,40.1,28,8.1,95,81
16,35.012,135.6761,1,2010,45,39.4,32,7.4,95,80
17,35.012,135.6761,1,2010,48,39.4,27,7.4,95,79
18,35.012,135.6761,1,2010,48,40.9,28,8.9,95,78
19,35.012,135.6761,1,2010,55,46.4,34,14.4,95,77
20,35.012,135.6761,1,2010,59,50,34,18,95,76
21,35.012,135.6761,1,2010,55,50,41,18,95,75
22,35.012,135.6761,1,2010,46,42.8,39,10.8,95,74
23,35.012,135.6761,1,2010,48,41.8,34,9.8,95,73
24,35.012,135.6761,1,2010,46,41.6,34,9.6,95,72
25,35.012,135.6761,1,2010,43,38.9,30,6.9,95,71
26,35.012,135.6761,1,2010,48,40.9,30,8.9,95,70
27,35.012,135.6761,1,2010,52,43.8,28,11.8,95,69
28,35.012,135.6761,1,2010,52,47.5,45,15.5,95,68
29,35.012,135.6761,1,2010,52,45.5,36,13.5,95,67
30,35.012,135.6761,1,2010,52,44.7,34,12.7,95,66
31,35.012,135.6761,1,2010,45,44,41,12,95,65
32,35.012,135.6761,2,2010,43,39.4,37,7.4,95,64
33,35.012,135.6761,2,2010,50,44.9,36,12.9,95,63
34,35.012,135.6761,2,2010,46,40.4,32,8.4,95,62
35,35.012,135.6761,2,2010,45,38.8,30,6.8,95,61
36,35.012,135.6761,2,2010,46,39.8,28,7.8,95,60
37,35.012,135.6761,2,2010,43,37.6,32,5.6,95,59
38,35.012,135.6761,2,2010,48,41.1,30,9.1,95,58
39,35.012,135.6761,2,2010,52,45.1,36,13.1,95,57
40,35.012,135.6761,2,2010,64,59.6,55,27.6,95,56
41,35.012,135.6761,2,2010,63,56,48,24,95,55
42,35.012,135.6761,2,2010,46,43.7,41,11.7,95,54
43,35.012,135.6761,2,2010,45,42.3,37,10.3,95,53
44,35.012,135.6761,2,2010,50,42.3,34,10.3,95,52
45,35.012,135.6761,2,2010,50,44.2,34,12.2,95,51
46,35.012,135.6761,2,2010,46,43.9,39,11.9,95,50
47,35.012,135.6761,2,2010,48,44.2,37,12.2,95,49
48,35.012,135.6761,2,2010,43,39.4,34,7.4,95,48
49,35.012,135.6761,2,2010,48,41.9,32,9.9,95,47
50,35.012,135.6761,2,2010,50,41.7,30,9.7,95,46
51,35.012,135.6761,2,2010,48,42.8,32,10.8,95,45
52,35.012,135.6761,2,2010,54,45.6,34,13.6,95,44
53,35.012,135.6761,2,2010,61,50.8,32,18.8,95,43
54,35.012,135.6761,2,2010,64,55,41,23,95,42
55,35.012,135.6761,2,2010,68,58.5,43,26.5,95,41
56,35.012,135.6761,2,2010,70,62.6,54,30.6,95,40
57,35.012,135.6761,2,2010,61,59,57,27,95,39
58,35.012,135.6761,2,2010,57,53.5,50,21.5,95,38
59,35.012,135.6761,2,2010,52,48.4,45,16.4,95,37
1,35.012,135.6761,1,2011,45,38.5,32,6.5,99,99
2,35.012,135.6761,1,2011,48,42.6,36,10.6,99,98
3,35.012,135.6761,1,2011,48,40,28,8,99,97
4,35.012,135.6761,1,2011,52,42.9,34,10.9,99,96
5,35.012,135.6761,1,2011,48,41.2,30,9.2,99,95
6,35.012,135.6761,1,2011,45,40.6,36,8.6,99,94
7,35.012,135.6761,1,2011,41,37.1,30,5.1,99,93
8,35.012,135.6761,1,2011,48,39.8,28,7.8,99,92
9,35.012,135.6761,1,2011,50,42.7,34,10.7,99,91
10,35.012,135.6761,1,2011,41,37.1,32,5.1,99,90
11,35.012,135.6761,1,2011,45,37.9,27,5.9,99,89
12,35.012,135.6761,1,2011,48,40.7,32,8.7,99,88
13,35.012,135.6761,1,2011,48,39.2,28,7.2,99,87
14,35.012,135.6761,1,2011,46,39.8,30,7.8,99,86
15,35.012,135.6761,1,2011,45,40.5,36,8.5,99,85
16,35.012,135.6761,1,2011,39,32.8,25,0.8,99,84
17,35.012,135.6761,1,2011,45,38.1,28,6.1,99,83
18,35.012,135.6761,1,2011,46,40.4,30,8.4,99,82
19,35.012,135.6761,1,2011,46,40.3,32,8.3,99,81
20,35.012,135.6761,1,2011,46,38.9,27,6.9,99,80
21,35.012,135.6761,1,2011,45,39.6,28,7.6,99,79
22,35.012,135.6761,1,2011,48,42.3,32,10.3,99,78
23,35.012,135.6761,1,2011,46,41.2,34,9.2,99,77
24,35.012,135.6761,1,2011,48,40.6,30,8.6,99,76
25,35.012,135.6761,1,2011,45,40.3,32,8.3,99,75
26,35.012,135.6761,1,2011,45,39.1,30,7.1,99,74
27,35.012,135.6761,1,2011,46,38.4,30,6.4,99,73
28,35.012,135.6761,1,2011,43,38.5,32,6.5,99,72
29,35.012,135.6761,1,2011,46,39,28,7,99,71
30,35.012,135.6761,1,2011,39,34,27,2,99,70
31,35.012,135.6761,1,2011,43,34.6,23,2.6,99,69
32,35.012,135.6761,2,2011,50,42.3,32,10.3,99,68
33,35.012,135.6761,2,2011,50,44.1,37,12.1,99,67
34,35.012,135.6761,2,2011,54,43.5,30,11.5,99,66
35,35.012,135.6761,2,2011,54,44.4,30,12.4,99,65
36,35.012,135.6761,2,2011,52,44.8,32,12.8,99,64
37,35.012,135.6761,2,2011,57,46.6,30,14.6,99,63
38,35.012,135.6761,2,2011,54,46.8,39,14.8,99,62
40,35.012,135.6761,2,2011,48,45.3,41,13.3,99,60
41,35.012,135.6761,2,2011,45,41.1,36,9.1,99,59
44,35.012,135.6761,2,2011,43,37.9,30,5.9,99,56
46,35.012,135.6761,2,2011,45,40.8,36,8.8,99,54
49,35.012,135.6761,2,2011,50,46,41,14,99,51
53,35.012,135.6761,2,2011,61,49.6,36,17.6,99,47
54,35.012,135.6761,2,2011,61,53,39,21,99,46
55,35.012,135.6761,2,2011,63,57.1,50,25.1,99,45
56,35.012,135.6761,2,2011,64,57.1,52,25.1,99,44
57,35.012,135.6761,2,2011,55,47.9,39,15.9,99,43
58,35.012,135.6761,2,2011,64,55,37,23,99,42
59,35.012,135.6761,2,2011,55,53.3,48,21.3,99,41
1,35.012,135.6761,1,2012,52,44.7,34,12.7,101,101
2,35.012,135.6761,1,2012,46,43.1,39,11.1,101,100
3,35.012,135.6761,1,2012,46,42.6,37,10.6,101,99
4,35.012,135.6761,1,2012,45,39.8,36,7.8,101,98
5,35.012,135.6761,1,2012,45,39.3,32,7.3,101,97
6,35.012,135.6761,1,2012,50,43.3,34,11.3,101,96
7,35.012,135.6761,1,2012,46,41.5,37,9.5,101,95
8,35.012,135.6761,1,2012,46,41.9,34,9.9,101,94
9,35.012,135.6761,1,2012,50,44.1,37,12.1,101,93
10,35.012,135.6761,1,2012,52,43.9,32,11.9,101,92
11,35.012,135.6761,1,2012,50,42.5,37,10.5,101,91
12,35.012,135.6761,1,2012,45,39.5,32,7.5,101,90
13,35.012,135.6761,1,2012,50,43.4,34,11.4,101,89
14,35.012,135.6761,1,2012,46,43.6,39,11.6,101,88
15,35.012,135.6761,1,2012,46,42.4,34,10.4,101,87
16,35.012,135.6761,1,2012,43,42.4,41,10.4,101,86
17,35.012,135.6761,1,2012,50,43.2,34,11.2,101,85
18,35.012,135.6761,1,2012,50,42.5,28,10.5,101,84
19,35.012,135.6761,1,2012,46,43.6,37,11.6,101,83
20,35.012,135.6761,1,2012,50,46.8,43,14.8,101,82
21,35.012,135.6761,1,2012,48,46,45,14,101,81
22,35.012,135.6761,1,2012,52,45.4,37,13.4,101,80
23,35.012,135.6761,1,2012,52,44.5,39,12.5,101,79
24,35.012,135.6761,1,2012,43,38,34,6,101,78
25,35.012,135.6761,1,2012,43,37.5,32,5.5,101,77
26,35.012,135.6761,1,2012,43,36.4,27,4.4,101,76
27,35.012,135.6761,1,2012,46,39.6,30,7.6,101,75
28,35.012,135.6761,1,2012,48,40.9,36,8.9,101,74
29,35.012,135.6761,1,2012,43,38.8,32,6.8,101,73
30,35.012,135.6761,1,2012,41,37.6,32,5.6,101,72
31,35.012,135.6761,1,2012,45,38.5,28,6.5,101,71
32,35.012,135.6761,2,2012,48,41.2,30,9.2,101,70
33,35.012,135.6761,2,2012,39,33,30,1,101,69
34,35.012,135.6761,2,2012,41,34.5,23,2.5,101,68
35,35.012,135.6761,2,2012,45,41.3,34,9.3,101,67
36,35.012,135.6761,2,2012,48,41.9,28,9.9,101,66
37,35.012,135.6761,2,2012,50,45.3,41,13.3,101,65
38,35.012,135.6761,2,2012,50,47.9,46,15.9,101,64
39,35.012,135.6761,2,2012,43,38.8,34,6.8,101,63
40,35.012,135.6761,2,2012,43,37.2,27,5.2,101,62
41,35.012,135.6761,2,2012,45,39.6,30,7.6,101,61
42,35.012,135.6761,2,2012,45,40.8,32,8.8,101,60
43,35.012,135.6761,2,2012,45,39.5,30,7.5,101,59
44,35.012,135.6761,2,2012,43,39.9,36,7.9,101,58
45,35.012,135.6761,2,2012,45,43.3,41,11.3,101,57
46,35.012,135.6761,2,2012,45,40.2,37,8.2,101,56
47,35.012,135.6761,2,2012,46,39.9,34,7.9,101,55
48,35.012,135.6761,2,2012,45,39.8,34,7.8,101,54
49,35.012,135.6761,2,2012,41,36.5,32,4.5,101,53
50,35.012,135.6761,2,2012,45,37.5,27,5.5,101,52
51,35.012,135.6761,2,2012,48,39.8,28,7.8,101,51
52,35.012,135.6761,2,2012,48,42.2,32,10.2,101,50
53,35.012,135.6761,2,2012,54,47.7,37,15.7,101,49
54,35.012,135.6761,2,2012,54,52.3,50,20.3,101,48
55,35.012,135.6761,2,2012,55,49.3,43,17.3,101,47
56,35.012,135.6761,2,2012,46,45,43,13,101,46
57,35.012,135.6761,2,2012,45,40.8,37,8.8,101,45
58,35.012,135.6761,2,2012,45,38.4,32,6.4,101,44
59,35.012,135.6761,2,2012,48,40.4,28,8.4,101,43
60,35.012,135.6761,2,2012,55,45.6,39,13.6,101,42
1,35.012,135.6761,1,2013,45,38.8,30,6.8,93,93
2,35.012,135.6761,1,2013,54,44.9,34,12.9,93,92
3,35.012,135.6761,1,2013,41,37.4,32,5.4,93,91
4,35.012,135.6761,1,2013,41,35.6,28,3.6,93,90
5,35.012,135.6761,1,2013,43,35.9,27,3.9,93,89
6,35.012,135.6761,1,2013,50,38.7,27,6.7,93,88
7,35.012,135.6761,1,2013,50,41.4,30,9.4,93,87
8,35.012,135.6761,1,2013,50,42.3,30,10.3,93,86
9,35.012,135.6761,1,2013,50,42.4,30,10.4,93,85
10,35.012,135.6761,1,2013,46,40.8,34,8.8,93,84
11,35.012,135.6761,1,2013,45,39.8,30,7.8,93,83
12,35.012,135.6761,1,2013,48,40.8,30,8.8,93,82
13,35.012,135.6761,1,2013,50,42.3,30,10.3,93,81
14,35.012,135.6761,1,2013,46,42.3,39,10.3,93,80
15,35.012,135.6761,1,2013,45,39.9,36,7.9,93,79
16,35.012,135.6761,1,2013,46,40.2,28,8.2,93,78
17,35.012,135.6761,1,2013,45,39.4,36,7.4,93,77
18,35.012,135.6761,1,2013,41,36.4,32,4.4,93,76
19,35.012,135.6761,1,2013,48,40.3,28,8.3,93,75
20,35.012,135.6761,1,2013,50,44.1,39,12.1,93,74
21,35.012,135.6761,1,2013,46,40.8,28,8.8,93,73
22,35.012,135.6761,1,2013,52,47.1,45,15.1,93,72
23,35.012,135.6761,1,2013,48,44.4,41,12.4,93,71
24,35.012,135.6761,1,2013,50,43.5,30,11.5,93,70
25,35.012,135.6761,1,2013,46,41.6,36,9.6,93,69
26,35.012,135.6761,1,2013,43,38.1,34,6.1,93,68
27,35.012,135.6761,1,2013,43,36.2,27,4.2,93,67
28,35.012,135.6761,1,2013,43,37.4,30,5.4,93,66
29,35.012,135.6761,1,2013,48,41.7,32,9.7,93,65
30,35.012,135.6761,1,2013,54,46.3,41,14.3,93,64
31,35.012,135.6761,1,2013,55,45.2,32,13.2,93,63
32,35.012,135.6761,2,2013,55,47.5,32,15.5,93,62
33,35.012,135.6761,2,2013,64,55.8,50,23.8,93,61
34,35.012,135.6761,2,2013,54,48.4,43,16.4,93,60
35,35.012,135.6761,2,2013,50,45.7,41,13.7,93,59
36,35.012,135.6761,2,2013,46,43.1,41,11.1,93,58
38,35.012,135.6761,2,2013,48,45,37,13,93,56
44,35.012,135.6761,2,2013,48,42.9,37,10.9,93,50
45,35.012,135.6761,2,2013,52,44.6,34,12.6,93,49
46,35.012,135.6761,2,2013,46,41.3,39,9.3,93,48
48,35.012,135.6761,2,2013,41,35.8,27,3.8,93,46
52,35.012,135.6761,2,2013,45,39.1,30,7.1,93,42
56,35.012,135.6761,2,2013,45,38.9,32,6.9,93,38
57,35.012,135.6761,2,2013,48,41.8,32,9.8,93,37
59,35.012,135.6761,2,2013,57,49.5,39,17.5,93,35
1,35.012,135.6761,1,2014,55,49.7,41,17.7,94,94
2,35.012,135.6761,1,2014,54,45.9,37,13.9,94,93
3,35.012,135.6761,1,2014,52,43.4,32,11.4,94,92
4,35.012,135.6761,1,2014,48,43,36,11,94,91
5,35.012,135.6761,1,2014,46,39.6,32,7.6,94,90
6,35.012,135.6761,1,2014,46,40.3,32,8.3,94,89
7,35.012,135.6761,1,2014,50,41.9,28,9.9,94,88
8,35.012,135.6761,1,2014,46,44.8,41,12.8,94,87
9,35.012,135.6761,1,2014,48,43.5,37,11.5,94,86
10,35.012,135.6761,1,2014,43,39,34,7,94,85
11,35.012,135.6761,1,2014,46,40.4,32,8.4,94,84
12,35.012,135.6761,1,2014,46,40.5,30,8.5,94,83
